Rating,Final Price,Discount,Number of Reviews,Material,Color,Style,Type,Brand
5,7,0,(1000+ Reviews),Fabric ,Lilac Purple ,Boho ,Cami ,SHEIN ICON
5,12.8,20,(1000+ Reviews),Fabric ,Black ,Sexy ,Bodycon ,SHEIN Belle
5,16.8,20,(1000+ Reviews),Fabric ,Black ,Elegant ,Shirt ,SHEIN BAE
5,14.45,15,(1000+ Reviews),Knitted Fabric ,Blue ,Sexy ,Bodycon ,SHEIN privé
5,8.8,20,(1000+ Reviews),Woven Fabric ,Khaki ,Casual ,Tunic ,SHEIN Frenchy
5,18,0,(1000+ Reviews),Mesh Fabric ,Apricot ,Elegant ,Bodycon ,SHEIN privé
4.97,11.05,15,(1000+ Reviews),Knitted Fabric ,Black ,Casual ,Bodycon ,SHEIN EZwear
4.99,20.4,15,(500+ Reviews),Fabric ,Black ,Elegant ,A Line ,SHEIN Frenchy
5,6.4,20,(1000+ Reviews),Knitted Fabric ,Coffee Brown ,Sexy ,Bodycon ,SHEIN PETITE
5,9,0,(1000+ Reviews),Fabric ,Multicolor ,Boho ,Tank ,SHEIN Unity
5,10.25,27,(1000+ Reviews),Fabric ,Brown ,Casual ,Bodycon ,SHEIN Essnce
5,14,0,(1000+ Reviews),Fabric ,Black ,Casual ,Bodycon ,SHEIN Essnce
4.94,8.8,20,(1000+ Reviews),Woven Fabric ,Green ,Cute ,Smock ,SHEIN LUNE
5,13,0,(1000+ Reviews),Knitted Fabric ,Chocolate Brown ,Casual ,Tank ,SHEIN EZwear
5,20,20,(1000+ Reviews),Knitted Fabric ,Royal Blue ,Elegant ,A Line ,SHEIN privé
5,9.25,16,(500+ Reviews),Fabric ,Hot Pink ,Casual ,Cami ,SHEIN Slayr
4.98,13.6,15,(100+ Reviews),Knitted Fabric ,Multicolor ,Elegant ,Bodycon ,SHEIN privé
4.98,13.6,15,(100+ Reviews),Knitted Fabric ,Black ,Casual ,Tee ,SHEIN LUNE
4.97,8,20,(500+ Reviews),Rib knit ,Black ,Elegant ,Bodycon ,SHEIN BAE
4.95,23,0,(500+ Reviews),Knitted Fabric ,White ,Casual ,Cami ,SHEIN MOD
5,11,0,(1000+ Reviews),Knitted Fabric ,Dark Green ,Elegant ,Bodycon ,SHEIN privé
4.97,8,0,(1000+ Reviews),Knitted Fabric ,Dusty Blue ,Boho ,Cami ,SHEIN EZwear
5,17,0,(1000+ Reviews),Knitted Fabric ,Royal Blue ,Party ,Cami ,SHEIN Belle
5,4.8,20,(1000+ Reviews),Fabric ,Black and White ,Casual ,Cami ,SHEIN Essnce
5,20,0,(1000+ Reviews),Fabric ,Purple ,Boho ,A Line ,SHEIN VCAY
4.96,9.25,16,(1000+ Reviews),Fabric ,Army Green ,Casual ,Tee ,SHEIN LUNE
5,7.5,17,(1000+ Reviews),Knitted Fabric ,Black and White ,Casual ,Bodycon ,SHEIN EZwear
